country_code,country_name,year,sector,consumption_mtoe
AL,Albania,2000,industry,0.008934
AT,Austria,2000,industry,0.409939
BE,Belgium,2000,industry,0.7105170000000001
BG,Bulgaria,2000,industry,0.352417
CY,Cyprus,2000,industry,0.03236
CZ,Czechia,2000,industry,2.7473829999999997
DE,Germany,2000,industry,4.302991
DK,Denmark,2000,industry,0.265346
EE,Estonia,2000,industry,0.026098
EL,Greece,2000,industry,0.853163
ES,Spain,2000,industry,0.638229
FI,Finland,2000,industry,0.341103
FR,France,2000,industry,1.673999
HR,Croatia,2000,industry,0.060762000000000004
HU,Hungary,2000,industry,0.154518
IE,Ireland,2000,industry,0.11263899999999999
IS,Iceland,2000,industry,0.097605
IT,Italy,2000,industry,1.4809780000000001
LT,Lithuania,2000,industry,0.011998
LU,Luxembourg,2000,industry,0.10821800000000001
LV,Latvia,2000,industry,0.012366
MK,North Macedonia,2000,industry,0.09647499999999999
MT,Malta,2000,industry,0.0
NL,Netherlands,2000,industry,0.099128
NO,Norway,2000,industry,0.850179
PL,Poland,2000,industry,6.1600969999999995
PT,Portugal,2000,industry,0.38877
RO,Romania,2000,industry,0.29434699999999997
RS,Serbia,2000,industry,0.6831929999999999
SE,Sweden,2000,industry,0.502914
SI,Slovenia,2000,industry,0.086384
SK,Slovakia,2000,industry,0.6205729999999999
TR,Turkey,2000,industry,8.028068000000001
UA,Ukraine,2000,industry,3.4760210000000002
UK,United Kingdom,2000,industry,2.120467
XK,Kosovo,2000,industry,0.025608
AL,Albania,2000,industry,0.0
AT,Austria,2000,industry,0.17516
BE,Belgium,2000,industry,0.564312
BG,Bulgaria,2000,industry,0.136295
CY,Cyprus,2000,industry,0.0
CZ,Czechia,2000,industry,0.575461
DE,Germany,2000,industry,3.086794
DK,Denmark,2000,industry,0.0
EE,Estonia,2000,industry,0.0
EL,Greece,2000,industry,0.0
ES,Spain,2000,industry,0.235996
FI,Finland,2000,industry,0.198586
FR,France,2000,industry,0.027558
HR,Croatia,2000,industry,0.0031379999999999997
HU,Hungary,2000,industry,0.130536
IE,Ireland,2000,industry,0.0
IS,Iceland,2000,industry,0.0
IT,Italy,2000,industry,0.29632200000000003
LT,Lithuania,2000,industry,0.0
LU,Luxembourg,2000,industry,0.0
LV,Latvia,2000,industry,0.0
MK,North Macedonia,2000,industry,0.0
MT,Malta,2000,industry,0.0
NL,Netherlands,2000,industry,0.155552
NO,Norway,2000,industry,0.030596
PL,Poland,2000,industry,1.246905
PT,Portugal,2000,industry,0.040422
RO,Romania,2000,industry,0.43457799999999996
RS,Serbia,2000,industry,0.0
SE,Sweden,2000,industry,0.199236
SI,Slovenia,2000,industry,0.0
SK,Slovakia,2000,industry,0.370104
TR,Turkey,2000,industry,0.748495
UA,Ukraine,2000,industry,3.82506
UK,United Kingdom,2000,industry,0.290358
XK,Kosovo,2000,industry,0.0
AL,Albania,2000,industry,0.078332
AT,Austria,2000,industry,1.7784179999999998
BE,Belgium,2000,industry,3.428031
BG,Bulgaria,2000,industry,0.738091
CY,Cyprus,2000,industry,0.038348999999999994
CZ,Czechia,2000,industry,1.628891
DE,Germany,2000,industry,18.193465
DK,Denmark,2000,industry,0.8592430000000001
EE,Estonia,2000,industry,0.15761
EL,Greece,2000,industry,1.164832
ES,Spain,2000,industry,7.363715
FI,Finland,2000,industry,3.688564
FR,France,2000,industry,11.578332
HR,Croatia,2000,industry,0.24643199999999998
HU,Hungary,2000,industry,0.756578
IE,Ireland,2000,industry,0.664402
IS,Iceland,2000,industry,0.45055900000000004
IT,Italy,2000,industry,12.196647
LT,Lithuania,2000,industry,0.19724799999999998
LU,Luxembourg,2000,industry,0.278782
LV,Latvia,2000,industry,0.12321599999999999
MK,North Macedonia,2000,industry,0.134136
MT,Malta,2000,industry,0.043336
NL,Netherlands,2000,industry,3.466408
NO,Norway,2000,industry,4.433878
PL,Poland,2000,industry,3.429063
PT,Portugal,2000,industry,1.371797
RO,Romania,2000,industry,1.7118659999999999
RS,Serbia,2000,industry,0.5443680000000001
SE,Sweden,2000,industry,4.895787
SI,Slovenia,2000,industry,0.475408
SK,Slovakia,2000,industry,0.8375750000000001
TR,Turkey,2000,industry,3.962941
UA,Ukraine,2000,industry,5.184867000000001
UK,United Kingdom,2000,industry,9.811866
XK,Kosovo,2000,industry,0.020120000000000002
AL,Albania,2000,industry,0.000903
AT,Austria,2000,industry,2.063478
BE,Belgium,2000,industry,4.4909669999999995
BG,Bulgaria,2000,industry,1.197535
CY,Cyprus,2000,industry,0.0
CZ,Czechia,2000,industry,2.6016340000000002
DE,Germany,2000,industry,19.256814
DK,Denmark,2000,industry,0.7779210000000001
EE,Estonia,2000,industry,0.121797
EL,Greece,2000,industry,0.24378999999999998
ES,Spain,2000,industry,9.150504999999999
FI,Finland,2000,industry,0.8294279999999999
FR,France,2000,industry,12.347956
HR,Croatia,2000,industry,0.502859
HU,Hungary,2000,industry,1.370185
IE,Ireland,2000,industry,0.470056
IS,Iceland,2000,industry,0.0
IT,Italy,2000,industry,16.62515
LT,Lithuania,2000,industry,0.204235
LU,Luxembourg,2000,industry,0.299416
LV,Latvia,2000,industry,0.207373
MK,North Macedonia,2000,industry,0.006986
MT,Malta,2000,industry,0.0
NL,Netherlands,2000,industry,5.948772
NO,Norway,2000,industry,0.173367
PL,Poland,2000,industry,2.281664
PT,Portugal,2000,industry,0.658813
RO,Romania,2000,industry,3.976204
RS,Serbia,2000,industry,0.684802
SE,Sweden,2000,industry,0.302558
SI,Slovenia,2000,industry,0.49155200000000004
SK,Slovakia,2000,industry,1.1171110000000002
TR,Turkey,2000,industry,1.66681
UA,Ukraine,2000,industry,11.951913000000001
UK,United Kingdom,2000,industry,14.195679
XK,Kosovo,2000,industry,0.0
AL,Albania,2000,industry,0.0
AT,Austria,2000,industry,0.121811
BE,Belgium,2000,industry,0.426459
BG,Bulgaria,2000,industry,0.27216500000000005
CY,Cyprus,2000,industry,0.0
CZ,Czechia,2000,industry,0.780596
DE,Germany,2000,industry,0.900473
DK,Denmark,2000,industry,0.159406
EE,Estonia,2000,industry,0.043757
EL,Greece,2000,industry,0.0
ES,Spain,2000,industry,0.0
FI,Finland,2000,industry,1.231752
FR,France,2000,industry,0.0
HR,Croatia,2000,industry,0.024390000000000002
HU,Hungary,2000,industry,0.517006
IE,Ireland,2000,industry,0.0
IS,Iceland,2000,industry,0.0
IT,Italy,2000,industry,0.0
LT,Lithuania,2000,industry,0.164015
LU,Luxembourg,2000,industry,0.0
LV,Latvia,2000,industry,0.01574
MK,North Macedonia,2000,industry,0.10225
MT,Malta,2000,industry,0.0
NL,Netherlands,2000,industry,2.890585
NO,Norway,2000,industry,0.019370000000000002
PL,Poland,2000,industry,1.450272
PT,Portugal,2000,industry,0.127305
RO,Romania,2000,industry,0.468377
RS,Serbia,2000,industry,0.0
SE,Sweden,2000,industry,0.344177
SI,Slovenia,2000,industry,0.026273
SK,Slovakia,2000,industry,0.017866
