country_code,country_name,year,source,capacity_gw,share_pct
AL,Albania,2004,total_renewable,,29.62
AT,Austria,2004,total_renewable,,22.55
BE,Belgium,2004,total_renewable,,1.92
BG,Bulgaria,2004,total_renewable,,9.23
CY,Cyprus,2004,total_renewable,,3.07
CZ,Czechia,2004,total_renewable,,6.77
DE,Germany,2004,total_renewable,,6.21
DK,Denmark,2004,total_renewable,,14.84
EE,Estonia,2004,total_renewable,,18.42
EL,Greece,2004,total_renewable,,7.16
ES,Spain,2004,total_renewable,,8.35
FI,Finland,2004,total_renewable,,29.23
FR,France,2004,total_renewable,,9.32
HR,Croatia,2004,total_renewable,,23.4
HU,Hungary,2004,total_renewable,,4.36
IE,Ireland,2004,total_renewable,,2.38
IS,Iceland,2004,total_renewable,,58.9
IT,Italy,2004,total_renewable,,6.32
LT,Lithuania,2004,total_renewable,,17.22
LU,Luxembourg,2004,total_renewable,,0.9
LV,Latvia,2004,total_renewable,,32.79
MD,Moldova,2004,total_renewable,,7.45
MK,North Macedonia,2004,total_renewable,,15.7
MT,Malta,2004,total_renewable,,0.1
NL,Netherlands,2004,total_renewable,,2.03
NO,Norway,2004,total_renewable,,58.42
PL,Poland,2004,total_renewable,,6.88
PT,Portugal,2004,total_renewable,,19.2
RO,Romania,2004,total_renewable,,16.81
RS,Serbia,2004,total_renewable,,12.72
SE,Sweden,2004,total_renewable,,38.43
SI,Slovenia,2004,total_renewable,,18.4
SK,Slovakia,2004,total_renewable,,6.39
XK,Kosovo,2004,total_renewable,,20.54
AL,Albania,2004,total_renewable,,69.98
AT,Austria,2004,total_renewable,,61.63
BE,Belgium,2004,total_renewable,,1.71
BG,Bulgaria,2004,total_renewable,,8.36
CY,Cyprus,2004,total_renewable,,0.02
CZ,Czechia,2004,total_renewable,,3.69
DE,Germany,2004,total_renewable,,9.44
DK,Denmark,2004,total_renewable,,23.75
EE,Estonia,2004,total_renewable,,0.55
EL,Greece,2004,total_renewable,,7.84
ES,Spain,2004,total_renewable,,19.02
FI,Finland,2004,total_renewable,,26.71
FR,France,2004,total_renewable,,13.78
HR,Croatia,2004,total_renewable,,35.03
HU,Hungary,2004,total_renewable,,2.22
IE,Ireland,2004,total_renewable,,6.03
IS,Iceland,2004,total_renewable,,93.15
IT,Italy,2004,total_renewable,,16.09
LT,Lithuania,2004,total_renewable,,3.59
LU,Luxembourg,2004,total_renewable,,2.76
LV,Latvia,2004,total_renewable,,45.96
MD,Moldova,2004,total_renewable,,0.84
MK,North Macedonia,2004,total_renewable,,14.51
MT,Malta,2004,total_renewable,,0.0
NL,Netherlands,2004,total_renewable,,4.45
